name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,creator,price
chevrolet chevelle malibu 1970,18,8,307,130,3504,12,1970,chevrolet,23000
buick skylark 320 1970,15,8,350,165,3693,11,1970,buick,13000
plymouth satellite 1970,18,8,318,150,3436,11,1970,plymouth,16000
amc rebel sst 1970,16,8,304,150,3433,12,1970,amc,22400
ford torino 1970,17,8,302,140,3449,10,1970,ford,45000
ford galaxie 500 1970,15,8,429,198,4341,10,1970,ford,13000
chevrolet impala 1970,14,8,454,220,4354,9,1970,chevrolet,20000
plymouth fury iii 1970,14,8,440,215,4312,8,1970,plymouth,20000
pontiac catalina 1970,14,8,455,225,4425,10,1970,pontiac,9500
amc ambassador dpl 1970,15,8,390,190,3850,8,1970,amc,10000
dodge challenger se 1970,15,8,383,170,3563,10,1970,dodge,52000
plymouth cuda 340 1970,14,8,340,160,3609,8,1970,plymouth,40000
chevrolet monte carlo 1970,15,8,400,150,3761,9,1970,chevrolet,30000
buick estate wagon 1970,14,8,455,225,3086,10,1970,buick,13000
toyota corona mark ii 1970,24,4,113,95,2372,15,1970,toyota,14000
plymouth duster 1970,22,6,198,95,2833,15,1970,plymouth,10250
amc hornet 1970,18,6,199,97,2774,15,1970,amc,11000
ford maverick 1970,21,6,200,85,2587,16,1970,ford,9000
datsun pl510 1970,27,4,97,88,2130,14,1970,datsun,21000
peugeot 504 1970,25,4,110,87,2672,17,1970,peugeot,10000
audi 100 ls 1970,24,4,107,90,2430,14,1970,audi,15000
saab 99e 1970,25,4,104,95,2375,17,1970,saab,8000
bmw 2002 1970,26,4,121,113,2234,12,1970,bmw,24000
amc gremlin 1970,21,6,199,90,2648,15,1970,amc,15300
ford f250 1970,10,8,360,215,4615,14,1970,ford,17500
chevrolet c20 1970,10,8,307,200,4376,15,1970,chevrolet,17000
dodge d200 1970,11,8,318,210,4382,13,1970,dodge,16000
chevrolet vega 2300 1971,28,4,140,90,2264,15,1971,chevrolet,6470
toyota corona 1971,25,4,113,95,2228,14,1971,toyota,10000
plymouth satellite custom 1971,16,6,225,105,3439,15,1971,plymouth,5850
amc matador 1971,18,6,232,100,3288,15,1971,amc,12500
pontiac catalina brougham 1971,14,8,400,175,4464,11,1971,pontiac,12900
dodge monaco 1971,12,8,383,180,4955,11,1971,dodge,25000
ford country squire 1971,13,8,400,170,4746,12,1971,ford,24000
pontiac safari 1971,13,8,400,175,5140,12,1971,pontiac,29000
amc hornet sportabout 1971,18,6,258,110,2962,13,1971,amc,13500
pontiac firebird 1971,19,6,250,100,3282,15,1971,pontiac,29000
ford mustang 1971,18,6,250,88,3139,14,1971,ford,15000
opel 1900 1971,28,4,116,90,2123,14,1971,opel,5000
peugeot 304 1971,30,4,79,70,2074,19,1971,peugeot,4800
fiat 124b 1971,30,4,88,76,2065,14,1971,fiat,6800
toyota corolla 1200 1971,31,4,71,65,1773,19,1971,toyota,8200
plymouth cricket 1971,26,4,91,70,1955,20,1971,plymouth,6000
toyota corona hardtop 1972,24,4,113,95,2278,15,1972,toyota,7000
dodge colt hardtop 1972,25,4,97,80,2126,17,1972,dodge,10700
volkswagen type 3 1972,23,4,97,54,2254,23,1972,volkswagen,14300
ford pinto runabout 1972,21,4,122,86,2226,16,1972,ford,9100
amc ambassador sst 1972,17,8,304,150,3672,11,1972,amc,9300
mercury marquis 1972,11,8,429,208,4633,11,1972,mercury,8000
buick lesabre custom 1972,13,8,350,155,4502,13,1972,buick,15300
oldsmobile delta 88 royale 1972,12,8,350,160,4456,13,1972,oldsmobile,9600
chrysler newport royal 1972,13,8,400,190,4422,12,1972,chrysler,9800
mazda rx2 coupe 1972,19,3,70,97,2330,13,1972,mazda,29200
chevrolet chevelle concours 1972,13,8,307,130,4098,14,1972,chevrolet,14300
volvo 145e 1972,18,4,121,112,2933,14,1972,volvo,5700
volkswagen 411 1972,22,4,121,76,2511,18,1972,volkswagen,8000
peugeot 504 1972,21,4,120,87,2979,19,1972,peugeot,18000
renault 12 1972,26,4,96,69,2189,18,1972,renault,5000
datsun 510 1972,28,4,97,92,2288,17,1972,datsun,20000
buick century 350 1973,13,8,350,175,4100,13,1973,buick,18000
dodge coronet custom 1973,15,8,318,150,3777,12,1973,dodge,6000
mercury marquis brougham 1973,12,8,429,198,4952,11,1973,mercury,7000
chevrolet caprice classic 1973,13,8,400,150,4464,12,1973,chevrolet,18000
ford ltd 1973,13,8,351,158,4363,13,1973,ford,6300
chrysler new yorker brougham 1973,13,8,440,215,4735,11,1973,chrysler,9000
buick electra 225 custom 1973,12,8,455,225,4951,11,1973,buick,15000
plymouth valiant 1973,18,6,225,105,3121,16,1973,plymouth,20000
chevrolet nova custom 1973,16,6,250,100,3278,18,1973,chevrolet,18600
volkswagen super beetle 1973,26,4,97,46,1950,21,1973,volkswagen,15000
ford country 1973,12,8,400,167,4906,12,1973,ford,9500
plymouth custom suburb 1973,13,8,360,170,4654,13,1973,plymouth,15250
oldsmobile vista cruiser 1973,12,8,350,180,4499,12,1973,oldsmobile,22000
amc gremlin 1973,18,6,232,100,2789,15,1973,amc,11900
chevrolet vega 1973,21,4,140,72,2401,19,1973,chevrolet,5400
datsun 610 1973,22,4,108,94,2379,16,1973,datsun,9000
