
Metric    Model Name               Score Mean               Score Variance           Score Std                
MSE       DecisionTree             0.39864491008375214      0.0021629382197854226    0.046507399623989115     
MSE       RandomForest             0.2799811428879132       0.001998496872211747     0.04470455091164374      
MSE       LightGBM                 0.3342550094541373       0.0011978406528316853    0.034609834625893336     
MAE       DecisionTree             0.48981343029465757      0.0007994856414712737    0.028275177125374012     
MAE       RandomForest             0.4057926941880703       0.0008863853550447973    0.029772224556535866     
MAE       LightGBM                 0.4475055896915251       0.0005180332850578       0.02276034457247517      
MSLE      DecisionTree             0.003630861056478141     1.706581747238763e-07    0.0004131079456072908    
MSLE      RandomForest             0.0026142732063535365    1.758384998371772e-07    0.00041933101463781234   
MSLE      LightGBM                 0.0031594105822466264    1.277655970973354e-07    0.0003574431382714395    
R2        DecisionTree             0.6230707079638885       0.0029462401944306995    0.05427927960493488      
R2        RandomForest             0.7366238459831249       0.0015406631793485753    0.03925128251851875      
R2        LightGBM                 0.6851653145113493       0.0012217923319014358    0.03495414613320479      
