
Metric    Model Name               Score Mean               Score Variance           Score Std                
MSE       DecisionTree             3.405305321172511        0.2026351590721024       0.4501501516961895       
MSE       RandomForest             2.479673583547752        0.14757304897719764      0.38415237728953033      
MSE       LightGBM                 2.7740939111061653       0.1437699328007735       0.37917005789061653      
MAE       DecisionTree             1.2822245525045117       0.0076734377349141365    0.08759816056809719      
MAE       RandomForest             1.127819959667794        0.007065438559574141     0.08405616312665086      
MAE       LightGBM                 1.1974691637946613       0.007704472108959248     0.08777512238077055      
MSLE      DecisionTree             0.07472729434328593      0.00023161153110452397   0.015218788752871365     
MSLE      RandomForest             0.058820551097423186     0.0002761969868533627    0.0166191752759685       
MSLE      LightGBM                 0.06568555198998795      0.00021487091630522246   0.01465847592027297      
R2        DecisionTree             0.8612604265060194       0.0003276469550912166    0.018101020830086256     
R2        RandomForest             0.8991213678215343       0.00020665793756159773   0.014375602163443371     
R2        LightGBM                 0.8870578575734075       0.00024402258641133693   0.015621222308492281     
